Learning Rate,Regularization,Dropout,Num Layers,Train Loss,Validation Loss,Test Loss
0.001,1e-06,0.1,7,0.16957178313732146,0.16486622516516666,0.16505236774683
0.001,1e-06,0.1,9,0.18148226659297942,0.16516717898238237,0.1653749242424965
0.001,1e-06,0.3,4,0.16935973093509674,0.16550644349520374,0.16576375365257262
0.001,1e-06,0.3,7,0.17068585183620452,0.16582411954737014,0.1660735487937927
0.001,1e-06,0.3,9,0.17393819591999055,0.16761889436822028,0.16791249960660934
0.001,1e-06,0.5,4,0.17037626895904542,0.16605219890357584,0.16634349822998046
0.001,1e-06,0.5,7,0.17186858344078065,0.16644302950163556,0.16673680543899536
0.001,1e-06,0.5,9,0.19363263289928437,0.170333803174602,0.17075444608926774
0.001,1e-05,0.1,4,0.16724457495212555,0.16460269006194583,0.1648489385843277
0.001,1e-05,0.1,7,0.17401771416664125,0.16654104630278935,0.1667679876089096
0.001,1e-05,0.1,9,0.17141088922023773,0.16523372329724062,0.16542956233024597
0.001,1e-05,0.3,4,0.16923761546611785,0.164588504346313,0.16480129659175874
0.001,1e-05,0.3,7,0.17108626127243043,0.16635753147920984,0.1666279539465904
0.001,1e-05,0.3,9,0.16937340953350066,0.16347370804495112,0.1636592298746109
0.001,1e-05,0.5,4,0.17131648063659669,0.16703375794325664,0.16734296083450317
0.001,1e-05,0.5,7,0.18573051590919495,0.1721959992958482,0.17255766093730926
0.001,1e-05,0.5,9,0.20245474932193755,0.1738983170621714,0.17437397837638854
0.001,0.0001,0.1,4,0.17013820066452026,0.16928931235507794,0.16952562779188157
0.001,0.0001,0.1,7,0.1722662312746048,0.16775024535170027,0.16802171915769576
0.001,0.0001,0.1,9,0.1881989657640457,0.16997750198385517,0.17033138275146484
0.001,0.0001,0.3,4,0.1711381418943405,0.1681826244683782,0.16846564561128616
0.001,0.0001,0.3,7,0.1730939244031906,0.16658834021562224,0.16683020144701005
0.001,0.0001,0.3,9,0.17922147946357728,0.1702434874264298,0.17061771005392073
0.001,0.0001,0.5,4,0.1722583577632904,0.16899860265907968,0.16929470747709274
0.001,0.0001,0.5,7,0.17747830755710603,0.17096298838117321,0.17133252918720246
0.001,0.0001,0.5,9,0.18979219303131104,0.1711441348692414,0.17154836803674697
0.005,1e-06,0.1,4,0.17077255985736847,0.16137229940693848,0.16172952055931092
0.005,1e-06,0.1,7,0.18398746557235718,0.16225012700269176,0.1625166192650795
0.005,1e-06,0.1,9,0.18803625166416169,0.1665856241230752,0.1667848765850067
0.005,1e-06,0.3,4,0.16821648917198181,0.15963945779830788,0.15989232212305068
0.005,1e-06,0.3,7,0.18774459681510924,0.16602856993295584,0.16630385518074037
0.005,1e-06,0.3,9,0.18220450420379639,0.16705687372547806,0.1673369213938713
